1	2.307540
101	1.612627
201	1.275822
301	1.525859
401	1.236870
501	1.338523
601	1.121544
701	1.144328
1	1.346304
101	0.891518
201	0.796492
301	0.927741
401	0.808537
501	1.017695
601	0.723401
701	0.781933
1	0.750255
101	0.666055
201	0.495977
301	0.745656
401	0.509893
501	0.819179
601	0.447482
701	0.496359
1	0.430314
101	0.461230
201	0.267970
301	0.422743
401	0.216221
501	0.502518
601	0.239382
701	0.262052
1	0.334603
101	0.205126
201	0.173403
301	0.212337
401	0.146685
501	0.313477
601	0.264399
701	0.242234
1	0.381749
101	0.144390
201	0.093189
301	0.226577
401	0.082929
501	0.160389
601	0.110920
701	0.046625
1	0.111240
101	0.261881
201	0.108802
301	0.134627
401	0.060559
501	0.124826
601	0.090369
701	0.162023
1	0.146498
101	0.173713
201	0.055106
301	0.036583
401	0.054798
501	0.065970
601	0.091427
701	0.121313
1	0.015930
101	0.050520
201	0.024251
301	0.040810
401	0.037843
501	0.087174
601	0.017148
701	0.047260
1	0.033719
101	0.012937
201	0.023243
301	0.049332
401	0.047203
501	0.006974
601	0.019282
701	0.013322
1	0.005964
101	0.024707
201	0.005285
301	0.011797
401	0.010946
501	0.006661
601	0.010514
701	0.002480
1	0.003123
101	0.012143
201	0.000943
301	0.002324
401	0.002417
501	0.002687
601	0.000562
701	0.001179
1	0.000938
101	0.001109
201	0.000361
301	0.000999
401	0.000426
501	0.000623
601	0.000383
701	0.000515
1	0.000564
101	0.000735
201	0.000315
301	0.000790
401	0.000356
501	0.000498
601	0.000320
701	0.000427
1	0.000447
101	0.000580
201	0.000267
301	0.000632
401	0.000313
501	0.000423
601	0.000281
701	0.000370
1	0.000379
101	0.000487
201	0.000232
301	0.000536
401	0.000280
501	0.000371
601	0.000252
701	0.000330
1	0.000332
101	0.000423
201	0.000206
301	0.000471
401	0.000255
501	0.000331
601	0.000229
701	0.000298
1	0.000297
101	0.000376
201	0.000186
301	0.000423
401	0.000234
501	0.000300
601	0.000210
701	0.000273
1	0.000268
101	0.000338
201	0.000169
301	0.000385
401	0.000217
501	0.000275
601	0.000194
701	0.000253
1	0.000246
101	0.000309
201	0.000156
301	0.000354
401	0.000202
501	0.000254
601	0.000180
701	0.000236
